Unique_ID,X,Y,composite1,Riverdis_value_remap,Road_value_remap,Railway_value_remap,Space_value_remap,Riverquality_value_remap,SUM_public,SUM_educat,SUM_Changi,SUM_reside,SUM_social,All_Ages_2,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Working_ag,Age_Struct,Persons_pe,All_househ,Couple_wit,Couple_w_1,House_Pric,House_Sale,Employment,Unemployme,Public_Tra,Transport,Transpor_1,Transpor_2,Household,Househol_1
6982,535037,196827,0.62,0.23,0.01,0,0,0,0,0,0,1280.054904,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6983,535223,196827,0.62,0.86,0,0,0.99,0,25.20369911,0,0,0,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6984,535409,196827,0.46,0.08,0,0,1,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6985,535595,196827,0.38,0,0,0,0.95,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6986,535781,196827,0.38,0,0,0,0.54,0,0,0,0,889.4614663,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6987,535967,196827,0.46,0,0,0,0.52,0,1024.359985,0,0,12.21010017,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6988,536153,196827,0.46,0,0,0,0,0,0,0,0,2371.316917,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6989,536339,196827,0.62,0,0,0.6,0.29,0,3508.532738,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6990,536526,196827,0.62,0.19,0.03,0,0.11,0,2089.370117,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6991,536712,196827,0.46,0.88,0.01,0,0.22,0,5.612969875,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6992,536898,196827,0.31,0.3,0,0,0,0.09,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6993,537084,196827,0.31,1,0.03,0,0.83,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6994,537270,196827,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6995,537456,196827,0.31,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6996,537642,196827,0.31,1,0.02,0,0.58,0.45,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
6997,534944,196880,0.54,0.02,0,0.95,0.36,0,677.4650269,0,0,855.2545771,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6998,535130,196880,0.62,0.69,0.01,0,0.7,0,0,0,0,237.8910999,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
6999,535316,196880,0.46,0.32,0,0,0.86,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7000,535502,196880,0.46,0,0,0,0.74,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7001,535688,196880,0.38,0,0.01,0,0.83,0,0,0,0,281.3552246,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7002,535874,196880,0.38,0,0,0,0.35,0,765.210022,0,0,721.3491983,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7003,536060,196880,0.46,0,0.05,0,0,0,0,0,0,1289.715633,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7004,536246,196880,0.62,0,0,0.67,0.06,0,1333.797504,0,0,1695.077761,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7005,536433,196880,0.62,0,0.23,0,0,0,963.4807835,0,1591.272144,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7006,536619,196880,0.54,0.48,0.01,0,0,0,473.7201755,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7007,536805,196880,0.54,0.25,0,0,0,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7008,536991,196880,0.31,0.91,0.01,0,0.38,0.45,235.1089935,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7009,537177,196880,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7010,537363,196880,0.38,1,0,0,0.8,0,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7011,537549,196880,0.31,1,0,0,0.8,0.18,0,0,0,0,0,2456,672,517,547,453,267,1517,1482,9,990,184,164,185000,29,52.3,13,2.2,0,51.2,0,27448,21814
7012,535037,196934,0.62,0.17,0,0,0,0,0,0,0,1826.301191,0,1699,388,327,327,404,253,1058,1024,54,597,131,135,298500,10,54,11,3.2,0,100,0,30908,24534
